SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
40.88.4.O.16S_000000000.J99GR,40_88_4_O_16S,W40,eye,16S,2018-2019,88-O-4,88,88,4,D,D_88,Clay,1354.034032,1.778801556
S66.89.O.3.16S_000000000.J53BN,66-89-O-3-16S,66,eye,16S,2018-2019,89-O-3,89,89,3,D,D_89,Clay,886.6378578,-2.114932115
S113.89.O.4.16S_000000000.J58CV,113-89-O-4-16S,113,eye,16S,2018-2019,89-O-4,89,89,4,D,D_89,Clay,886.6378578,-2.114932115
S128.89.O.1.16S_000000000.J58CV,128-89-O-1-16S,128,eye,16S,2018-2019,89-O-1,89,89,1,D,D_89,Clay,886.6378578,-2.114932115
S182.89.O.2.16S_000000000.J52V7,182-89-O-2-16S,182,eye,16S,2018-2019,89-O-2,89,89,2,D,D_89,Clay,886.6378578,-2.114932115
S30.100.O.1.16S_000000000.J59B3,30-100-O-1-16S,30,eye,16S,2018-2019,100-O-1,100,100,1,E,E_100,Clay,1607.502975,1.988953313
S32.100.O.4.16S_000000000.J59B3,32-100-O-4-16S,32,eye,16S,2018-2019,100-O-4,100,100,4,E,E_100,Clay,1607.502975,1.988953313
S58.100.O.3.16S_000000000.J53BN,58-100-O-3-16S,58,eye,16S,2018-2019,100-O-3,100,100,3,E,E_100,Clay,1607.502975,1.988953313
S63.100.O.2.16S_000000000.J53BN,63-100-O-2-16S,63,eye,16S,2018-2019,100-O-2,100,100,2,E,E_100,Clay,1607.502975,1.988953313
S11.103.O.1.16S_000000000.J59B3,11-103-O-1-16S,11,eye,16S,2018-2019,103-O-1,103,103,1,E,E_103,Clay,1383.346606,0.258089341
S141.103.O.2.16S_000000000.J58CV,141-103-O-2-16S,141,eye,16S,2018-2019,103-O-2,103,103,2,E,E_103,Clay,1383.346606,0.258089341
S184.103.O.4.16S_000000000.J52V7,184-103-O-4-16S,184,eye,16S,2018-2019,103-O-4,103,103,4,E,E_103,Clay,1383.346606,0.258089341
43.103.3.O.16S_000000000.J99GR,43_103_3_O_16S,W43,eye,16S,2018-2019,103-O-3,103,103,3,E,E_103,Clay,1383.346606,0.258089341
S10.104.O.1.16S_000000000.J59B3,10-104-O-1-16S,10,eye,16S,2018-2019,104-O-1,104,104,1,E,E_104,Clay,1486.681376,1.056007466
S26.104.O.3.16S_000000000.J59B3,26-104-O-3-16S,26,eye,16S,2018-2019,104-O-3,104,104,3,E,E_104,Clay,1486.681376,1.056007466
S154.104.O.2.16S_000000000.J52V7,154-104-O-2-16S,154,eye,16S,2018-2019,104-O-2,104,104,2,E,E_104,Clay,1486.681376,1.056007466
S171.107.O.1.16S_000000000.J52V7,171-107-O-1-16S,171,eye,16S,2018-2019,107-O-1,107,107,1,E,E_107,Clay,1194.914618,-1.196922352
S174.107.O.2.16S_000000000.J52V7,174-107-O-2-16S,174,eye,16S,2018-2019,107-O-2,107,107,2,E,E_107,Clay,1194.914618,-1.196922352
